id,value
id_0,5.650725811819013
id_1,16.478759767978797
id_2,24.101895523830066
id_3,6.743204183388237
id_4,27.504324059925594
id_5,21.888442011349532
id_6,24.786527991248796
id_7,30.519344795616092
id_8,17.082516184115676
id_9,59.71846983821916
id_10,11.338360636076755
id_11,11.641420539628838
id_12,63.88611177014364
id_13,54.36102451327969
id_14,24.380745769293704
id_15,13.986866797357697
id_16,31.512114295954355
id_17,65.92641336901448
id_18,2.478970060378633
id_19,19.434356348706658
id_20,41.32018750710178
id_21,70.4736172023967
id_22,8.637411709621196
id_23,18.105801846433316
id_24,14.756657741507652
id_25,39.30580474743039
id_26,15.327225487491257
id_27,77.73008290608331
id_28,8.210779222058317
id_29,53.28864080450691
id_30,21.498229963216495
id_31,10.671524799530456
id_32,0.48152486991403287
id_33,20.004096905732027
id_34,29.46683418447236
id_35,38.091034744176135
id_36,42.50691588830046
id_37,31.95716755528114
id_38,39.24756861060074
id_39,37.1501096821078
id_40,6.4808918912551325
id_41,40.409088905937445
id_42,34.18800941697504
id_43,48.74109213145047
id_44,16.46122025412003
id_45,37.71920239783116
id_46,24.805535643465902
id_47,12.952150214656667
id_48,27.507393816885774
id_49,33.05211882325112
id_50,17.45770036789913
id_51,5.380528485906359
id_52,28.016932343400235
id_53,49.42502051810588
id_54,14.984437472728823
id_55,35.679557482280046
id_56,36.05986639810913
id_57,21.477599474356175
id_58,61.581524852380824
id_59,22.174676382707226
id_60,12.240057274594372
id_61,43.67486914992133
id_62,15.637858730632361
id_63,51.408779324471766
id_64,14.43598470832399
id_65,18.222090422122086
id_66,14.100422201479638
id_67,2.127976847551366
id_68,44.34057860835773
id_69,29.815934566501873
id_70,20.661368992556064
id_71,40.87688030487278
id_72,62.76576726513334
id_73,5.4387343145359015
id_74,15.41623108839752
id_75,4.18747729632795
id_76,39.1091710203165
id_77,14.674930038367561
id_78,23.67322146192746
id_79,20.2395495926447
id_80,20.833552199951292
id_81,28.391701070266528
id_82,20.014606360957913
id_83,91.83585505565006
id_84,35.70699826717714
id_85,28.769895508975843
id_86,21.863440174002704
id_87,35.85290886024771
id_88,21.47474214616878
id_89,20.074611387110075
id_90,28.91144411390257
id_91,39.753065192361454
id_92,4.391316968323782
id_93,39.179662868316655
id_94,44.01568238071487
id_95,15.230086790127968
id_96,27.430535398799506
id_97,15.505232268936414
id_98,25.191773309730884
id_99,3.874064625647294
id_100,17.189306049899905
id_101,26.78943702180856
id_102,18.183732602958166
id_103,17.813281939701355
id_104,22.522017518821862
id_105,41.44735275962749
id_106,28.359215607023074
id_107,9.439656561997579
id_108,9.4875198492783
id_109,77.04344970152357
id_110,46.65355131343285
id_111,17.44923920345341
id_112,28.682135365731654
id_113,16.20598918307717
id_114,12.582120899030514
id_115,26.274464341689743
id_116,28.266877986905662
id_117,8.15597560308949
id_118,19.247026742076848
id_119,18.541405846737035
id_120,68.966998809614
id_121,21.84201910065604
id_122,35.026799672480905
id_123,24.663206683698277
id_124,8.120146886053618
id_125,41.093654172324705
id_126,7.984904160037312
id_127,21.24660146627764
id_128,28.732533390088093
id_129,60.11842928388302
id_130,21.57131003262471
id_131,26.576945496418766
id_132,58.129541593037146
id_133,16.98363695179831
id_134,11.489466052668456
id_135,3.5313045868997923
id_136,13.832603468444114
id_137,58.06868054795523
id_138,13.481249811887812
id_139,7.77506846730796
id_140,28.6562088978105
id_141,26.46549060815984
id_142,43.16304698405946
id_143,29.37915891332507
id_144,18.192456974128895
id_145,26.570324869136492
id_146,10.824613555111275
id_147,53.00000717827763
id_148,19.718200047547924
id_149,39.61351972671165
id_150,13.63437188583061
id_151,8.16359422707933
id_152,24.553365808459496
id_153,8.633489332925128
id_154,18.478207864475564
id_155,39.46732593034856
id_156,8.115554127147256
id_157,34.01646318903294
id_158,10.00265949908847
id_159,18.484928635603623
id_160,40.04358819164549
id_161,19.48760060783463
id_162,15.548223495654456
id_163,7.4949968654842625
id_164,48.02918231571126
id_165,28.237556175437533
id_166,4.305227566540591
id_167,15.174923975593575
id_168,61.19879212863791
id_169,12.026613594552996
id_170,61.280803926474306
id_171,36.89839323806172
id_172,29.72934845151167
id_173,19.72124154746568
id_174,58.18779551337471
id_175,20.908929268065855
id_176,23.616684980720223
id_177,36.35251672437463
id_178,11.225670378358636
id_179,32.962378712320486
id_180,16.50955832769074
id_181,11.356095158499832
id_182,50.63476285349736
id_183,50.524545745045515
id_184,15.448325623109048
id_185,30.089098358919067
id_186,23.653858430505537
id_187,67.46809833651004
id_188,10.499833663311023
id_189,55.786211504340045
id_190,40.90982536461621
id_191,16.720865626530543
id_192,27.823499838639094
id_193,1.2369995319754221
id_194,20.657602491505486
id_195,1.8323662884484955
id_196,36.640423262239125
id_197,11.537548979441562
id_198,20.343200418784612
id_199,64.08736077830935
id_200,27.783188833797297
id_201,28.08488632372758
id_202,64.77749874528514
id_203,11.691454100865338
id_204,10.435251321273368
id_205,11.901727772028181
id_206,6.515959383941263
id_207,2.7739986602908715
id_208,124.57801526601928
id_209,20.102038066842617
id_210,15.02500098264119
id_211,14.952388634578046
id_212,36.42225705521513
id_213,36.36993697496561
id_214,22.322218346494147
id_215,32.69144650870753
id_216,83.63075098608576
id_217,1.8860094526198914
id_218,14.243070207551927
id_219,31.371347119706904
id_220,16.659735841578957
id_221,13.807420110992576
id_222,117.34799904448192
id_223,12.849511836163876
id_224,16.465924976252154
id_225,55.595482583471046
id_226,13.215954310297322
id_227,21.650400090687867
id_228,11.006312029787663
id_229,6.291718754794983
id_230,44.142290484237016
id_231,12.830250453438902
id_232,54.11463062594995
id_233,40.21223146204592
id_234,21.33522493581802
id_235,44.8929285112155
id_236,72.41408087258472
id_237,43.61677662726925
id_238,0.9688473976263159
id_239,19.319940745124946
